nooruddinqur,All the members of @AllIndiaBakchod are really talented.,
GurmeharKhanna,@AllIndiaBakchod u guys are in Aurangabad, can u pls pls pls do a fan meet! I'm dying to meet u guys! Pls pls pls pls pls pls pls pls pls...,
AJITHURA,What actually happened plz zoom. @chintskap @ArshadWarsi @IndiaSpeaksPR @iam_juhi @AllIndiaBakchod pic.twitter.com/4l5B7ZWyw4,
niharkudalkar,@AllIndiaBakchod Hey guys do you have any plans for the next stage show in Pune.,
malikgarv,@TheViralFever to @AllIndiaBakchod : hum beer hai. Tum kya ho. AIB: humare paas @gkhamba hai. Lamest shit on facebook today,
WeAreMumbai,@preetamsalian @kalyanrath, @knowkenny, @abishmathew, @AllIndiaBakchod, @EastIndiaComedy, @TheViralFever and SnGComedyIN to name a few. :'),
rashika_sparks,Watched #AIBroast again. @AllIndiaBakchod you guys are amazing!!,
taRUNmasani,I also with, the team @AllIndiaBakchod answer this video https://www.youtube.com/watch?v=Kx5LS38aYBk&feature=youtu.be … specially @thetanmay,
rj_ankush007,@AllIndiaBakchod waiting for the next eXclusive Video...please upload it soon @mojorojo @thetanmay .. #AIB rockXXX!,
FedfanTejal,@TheBanat @EastIndiaComedy @harsh_shah811 @SnGComedyIN @AllIndiaBakchod If you're up for suggestions, u could fly solo.,
TheBanat,@EastIndiaComedy @FedfanTejal @harsh_shah811 @SnGComedyIN FINE I'm sending an application to @AllIndiaBakchod,
iamnaman30,@AllIndiaBakchod i think nice way to sent an aplogy is to retweet and say you guys are very kooll... https://twitter.com/AllIndiaBakchod/status/638228343851085824 …,
iamnaman30,@AllIndiaBakchod @TheViralFever my mistake... but you are awesome to.. eagerly waiting fr your sketch...,
AudiPhotography,@AllIndiaBakchod can you please get the airports to play your video before every flight?,
JafferyNida1,@AllIndiaBakchod yar me bht funny hoon. Aur bht ghareeb hun. Mjhy hire krlo?,
retardedwriter,Media channels are the real All India Bakchod.,
AllIndiaBakchod,@iamnaman30 Check out @AllIndiaBakchod's Tweet: https://twitter.com/AllIndiaBakchod/status/638228343851085824?s=09 …,
akhileshmoghe,@TheViralFever @AllIndiaBakchod you have proved my following thought exactly... Waiting for #PermanentRoommates pic.twitter.com/VaN6yiW3N7,
iamnaman30,Now srk and salman appreciate each other work, but no comments on @TheViralFever for #pitchers from @AllIndiaBakchod that is unkool,
georgeapproves,Faith in humanity restored. #PornHubCares. Check it out @verge @TheTweetOfGod @RGVzoomin @AllIndiaBakchod https://twitter.com/BuzzFeed/status/639108776260411392 …,
trendcrusher,Ask @AllIndiaBakchod https://twitter.com/hardik/status/639047303718809601 …,
sarcasticfun,@AllIndiaBakchod @AksharPathak so this is gonna be like epic designer + epic people=epic disaster. Too much of epicness.,
Bachchanite,Loved @irrfan_k in @AllIndiaBakchod's song! It is amazing! A thrash on those that do shit via party songs.,
nosoupforyoo,So here i go writing the guys at @AllIndiaBakchod for a job, AGAIN. My fav story as kid was the thirsty crow.,
fahadmh,Thank you @AllIndiaBakchod for this gift. Made my day. :) pic.twitter.com/c62YwmEkgi,
Pooja_Dave,xD https://twitter.com/AllIndiaBakchod/status/638767539024101377 …,
aniketakj,@AksharPathak is moving to @AllIndiaBakchod... Now waiting to see honest Indian movie (minimal),
amit12354,@AksharPathak welcome to Mumbai & best wishes with @AllIndiaBakchod Rock It :),
2emkay,@AllIndiaBakchod you hiring kya?,
RajiYM,@AllIndiaBakchod ke din nikal pade! Hero @AksharPathak coming...... https://twitter.com/MirrorCracklin/status/638792551139557376 …,
AlertTrade,How an internet show on startups delivered a stinging blow… http://dlvr.it/C2GMM3  #Uncategorized #AllIndiaBakchod #AnuragRathor #TopNews,
RajiYM,@AllIndiaBakchod @AksharPathak OMG! U will shine wherever u go. Look forward to ur creativity as always.,
neelakshmathur,Holy shit! @AksharPathak is joining @AllIndiaBakchod . 2 of my biggest inspirations coming together. Congratulations!,
SolankiSohail,@AllIndiaBakchod sir today is my birth day can U Plzz wish mee,
BMukeshJayaswal,Listen to this chill video of @AllIndiaBakchod feat @irrfan_k nothing aweful in it ,infactly said the real topics. Enjoy the video.,
Aakriti_Sinha,Whoa. So this happened. Very interesting @AksharPathak and all the best! Trust @AllIndiaBakchod'ish welcome tweet :) https://twitter.com/AllIndiaBakchod/status/638767539024101377 …,
GowrongAlot,Confirmed! @AllIndiaBakchod sign @AksharPathak for an undisclosed fee. Akshar will join the team in Mumbai from next week. #DeadlineDay,
shruthijha3,India's best Comedians, Tanmay Bhat, know all about him and all that he did before forming All India Bakchod! http://goo.gl/MTlvq5 ,
peeteeonyou,I think most shocking #DeadlineDayTransfer was @AksharPathak to @AllIndiaBakchod.,
WannabeSanyasin,@AllIndiaBakchod got funding kya?,
SehgalTashmeet,Just watched MSG: The messenger I swear i had tears in my eyes amazing dialogue delivery must watch @AllIndiaBakchod review it please,
akashbansal218,@AllIndiaBakchod @Beingind @TheViralFever i request u guyz to plz plz plz make a video as a rply 2 faisal qureshi's video on india.,
sabkilelo,@AllIndiaBakchod when he lands in Mumbai, all you have to say "Chu**ye, hum to Mazaak kar rahe the, tune seriously le lia?" @AksharPathak,
Fundoo_Maharaj,@AllIndiaBakchod Not a promising way to welcome your new employee! :P,
TheSoberStud,The best Deadline Day move was @AksharPathak from @Zomato to @AllIndiaBakchod for an undisclosed amount.,
simplybhawana,@AllIndiaBakchod Our most talented athlete @100thofasec needs funds to represent our country.Let's stand up for him! http://www.youngisthan.in/other-sports/shocking-how-winter-olympian-shiva-keshavan-is-forced-to-quit-luge/34476 …,
QuirkyChokro,@AllIndiaBakchod @AksharPathak Just when you thought that AIB couldn't get better.,
Old_Soothsayer,@AllIndiaBakchod @AksharPathak the soothsayer prophecy - u will end up in jail 1 yr after joining AIB...and AIB will be banned,
KhuranaPrateek,This is a message. New Era. https://twitter
